"","cpid","crop.name","crop.category","cropid","variable","value"
"1","KACHCHH","JOWAR","CEREALS",101,"1",1
"2","KACHCHH","BAJRA","CEREALS",102,"1",1
"3","KACHCHH","WHEAT","CEREALS",103,"1",1
"4","KACHCHH","MUG","PULSES",201,"1",1
"5","KACHCHH","MATH","PULSES",202,"1",1
"7","KACHCHH","ARANDA","OILSEEDS",301,"1",1
"8","KACHCHH","TAL (SESAME)","OILSEEDS",302,"1",1
"9","KACHCHH","GROUNDNUT(MUNGFALI)","OILSEEDS",303,"1",1
"10","KACHCHH","RAYDO (MUSTARD)","OILSEEDS",304,"1",1
"16","KACHCHH","RIGAN (BRINJAL)","VEGETABLES",601,"1",1
"17","KACHCHH","MARCHA (MIRCHI)","VEGETABLES",602,"1",1
"18","KACHCHH","TAMETA(TOMATO)","VEGETABLES",603,"1",1
"27","KACHCHH","SOVIN (GOUVAR)","OTHERS",701,"1",1
"29","DEVAS","JOWAR","CEREALS",101,"1",1
"30","DEVAS","MAKKA(MAIZE)","CEREALS",102,"1",1
"31","DEVAS","DHAN(PADDY)","CEREALS",103,"1",1
"32","DEVAS","RAJGARA","CEREALS",104,"1",1
"33","DEVAS","BAJRA","CEREALS",105,"1",1
"34","DEVAS","GENHU(WHEAT)","CEREALS",104,"1",1
"35","DEVAS","TUAR","PULSES",201,"1",1
"36","DEVAS","CHANA","PULSES",202,"1",1
"37","DEVAS","CHAWLA","PULSES",203,"1",1
"38","DEVAS","URAD","PULSES",204,"1",1
"39","DEVAS","MUNG","PULSES",205,"1",1
"40","DEVAS","SOYABEAN","OILSEEDS",301,"1",1
"41","DEVAS","MUNGFALI(GROUNDNUT)","OILSEEDS",302,"1",1
"42","DEVAS","TILLEE(SESAME)","OILSEEDS",303,"1",1
"43","DEVAS","KAPAS(COTTON)","FIBRE",401,"1",1
"44","DEVAS","AAM(MANGO)","FRUIT",501,"1",1
"45","DEVAS","NARIYAL(COCUNUT)","FRUIT",502,"1",1
"46","DEVAS","JAM","FRUIT",503,"1",1
"47","DEVAS","JAMUN","FRUIT",504,"1",1
"48","DEVAS","PAPITA","FRUIT",505,"1",1
"49","DEVAS","TARBUJ","FRUIT",506,"1",1
"50","DEVAS","KHARBUJ","FRUIT",507,"1",1
"51","DEVAS","AMROOD","FRUIT",508,"1",1
"52","DEVAS","SITAFAL","FRUIT",509,"1",1
"53","DEVAS","ANAR","FRUIT",510,"1",1
"54","DEVAS","TEMRU","FRUIT",511,"1",1
"55","DEVAS","KHAJUR(DATES)","FRUIT",512,"1",1
"56","DEVAS","BILLA","FRUIT",513,"1",1
"57","DEVAS","BAIR(INDIAN APPLE)","FRUIT",514,"1",1
"58","DEVAS","MAHUA","FRUIT",515,"1",1
"59","DEVAS","IMALI(TAMARIND)","FRUIT",516,"1",1
"60","DEVAS","KAILA","FRUIT",517,"1",1
"61","DEVAS","AWLA(GOOSEBERRY)","FRUIT",518,"1",1
"62","DEVAS","BADAM","FRUIT",519,"1",1
"64","DEVAS","KARUNDA","FRUIT",521,"1",1
"65","DEVAS","NIMBU(LEMON)","FRUIT",522,"1",1
